"name","price","url"
"Cabo 2 em 1 Elgin Micro USB / Lightning 1 Metro Branco","R$ 53,90","https://www.portinfo.com.br/produto/cabo-2-em-1-elgin-micro-usb-lightning-1-metro-branco-8164"
"Cabo Adaptador HDMI 1 Entrada para HDMI 2 Saídas GV Brasil","R$ 26,90","https://www.portinfo.com.br/produto/cabo-adaptador-hdmi-1-entrada-para-hdmi-2-saidas-gv-brasil-8100"
"Cabo Adaptador MD9 15Cm HDMI Macho Para VGA Fêmea Áudio P2","R$ 28,90","https://www.portinfo.com.br/produto/cabo-adaptador-md9-15cm-hdmi-macho-para-vga-femea-audio-p2-5355"
"Cabo Adaptador USB-C M/Displayport F MD9","R$ 98,90","https://www.portinfo.com.br/produto/cabo-adaptador-usb-c-m-displayport-f-md9-5334"
"Cabo Adaptador USB Tipo C 3.1 X HDMI Fêmea","R$ 52,90","https://www.portinfo.com.br/produto/cabo-adaptador-usb-tipo-c-31-x-hdmi-femea-5625"
"Cabo Adaptador USB Tipo C 3.1 X HDMI Femea 4K 5+","R$ 67,90","https://www.portinfo.com.br/produto/cabo-adaptador-usb-tipo-c-31-x-hdmi-femea-4k-5-8103"
"Cabo Adaptador USB Tipo C Macho X HDMI Macho 4K 1.8 Metros","R$ 144,90","https://www.portinfo.com.br/produto/cabo-adaptador-usb-tipo-c-macho-x-hdmi-macho-4k-18-metros-8104"
"Cabo Auxiliar P2 Preto 1 Metro NC45KY4KY GShield","R$ 28,90","https://www.portinfo.com.br/produto/cabo-auxiliar-p2-preto-1-metro-nc45ky4ky-gshield-5657"
"Cabo Auxiliar P2 X P2 Elg 2 Metros","R$ 18,90","https://www.portinfo.com.br/produto/cabo-auxiliar-p2-x-p2-elg-2-metros-8102"
"Cabo Comtac DVI-D (24+1) X HDMI 1,8 Metros","R$ 16,90","https://www.portinfo.com.br/produto/cabo-comtac-dvi-d-24-1-x-hdmi-18-metros-4946"
"Cabo Conversor MD9 USB C Macho Para USB C Fêmea + P2 Fêmea","R$ 19,90","https://www.portinfo.com.br/produto/cabo-conversor-md9-usb-c-macho-para-usb-c-femea-p2-femea-5339"
"Cabo Conversor USB X RJ-45 Fêmea 12cm WI272 Multilaser","R$ 79,90","https://www.portinfo.com.br/produto/cabo-conversor-usb-x-rj-45-femea-12cm-wi272-multilaser-2883"
"Cabo de Áudio P2 3.55 Estéreo Nylon Reforçado 1,5 Metros Geonav","R$ 32,90","https://www.portinfo.com.br/produto/cabo-de-audio-p2-355-estereo-nylon-reforcado-15-metros-geonav-1324"
"Cabo de Dados Para Leitor Código de Barras LB-50/100BK C3 Tech","R$ 39,90","https://www.portinfo.com.br/produto/cabo-de-dados-para-leitor-codigo-de-barras-lb-50-100bk-c3-tech-11945"
"Cabo Defender 4 em 1 Tipo C 1,5 Metros GS-3298 GShield","R$ 77,90","https://www.portinfo.com.br/produto/cabo-defender-4-em-1-tipo-c-15-metros-gs-3298-gshield-5662"
"Cabo de Força Force Line Paralelo Com Plug e Fêmea 1,8 Metros","R$ 13,90","https://www.portinfo.com.br/produto/cabo-de-forca-force-line-paralelo-com-plug-e-femea-18-metros-2548"
"Cabo de Força Force Line PP Para CPU 1,5 Metros","R$ 18,90","https://www.portinfo.com.br/produto/cabo-de-forca-force-line-pp-para-cpu-15-metros-2546"
"Cabo de Força Force Line PP Para CPU 3 Metros","R$ 25,90","https://www.portinfo.com.br/produto/cabo-de-forca-force-line-pp-para-cpu-3-metros-2547"
"Cabo de Força MD9 1.5 Metros 3 Pinos de 0,75mm 10A","R$ 18,90","https://www.portinfo.com.br/produto/cabo-de-forca-md9-15-metros-3-pinos-de-075mm-10a-5342"
"Cabo de Força MD9 1.8 Metros 3 Pinos de 0,50mm 10A","R$ 17,90","https://www.portinfo.com.br/produto/cabo-de-forca-md9-18-metros-3-pinos-de-050mm-10a-5341"
"Cabo de Força MD9 3 Metros 3 Pinos de 0,75mm 10A","R$ 29,90","https://www.portinfo.com.br/produto/cabo-de-forca-md9-3-metros-3-pinos-de-075mm-10a-5343"
"Cabo de Força Multilaser Notebook Tripolar 1.5 Metros","R$ 25,90","https://www.portinfo.com.br/produto/cabo-de-forca-multilaser-notebook-tripolar-15-metros-8837"
"Cabo de Força Notebook Universal Bipolar 1.5 Metros MD9","R$ 10,90","https://www.portinfo.com.br/produto/cabo-de-forca-notebook-universal-bipolar-15-metros-md9-5344"
"Cabo de Impressora MD9 1.5 Metros USB A Macho Para USB B Macho","R$ 9,90","https://www.portinfo.com.br/produto/cabo-de-impressora-md9-15-metros-usb-a-macho-para-usb-b-macho-5364"
